number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,closed_code,resolved_by,resolved_at,closed_at,isParent
INC0001711,Resolved,True,1,0,14,True,Caller 5399,,2016-03-03 09:59:00,,,Updated by 573,2016-03-29 09:45:00,Phone,Location 161,Category 57,Subcategory 227,Symptom 491,2 - Medium,1 - High,2 - High,Group 70,Resolver 149,True,True,Do Not Notify,code 1,Resolved by 133,2016-03-29 09:45:00,2016-03-04 09:59:00,No
INC0001406,Closed,False,2,0,12,False,Caller 4642,,2016-03-02 15:11:00,Created by 89,2016-03-02 15:19:00,Updated by 908,2016-04-03 17:59:00,Phone,Location 161,Category 45,Subcategory 229,Symptom 469,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 155,True,True,Do Not Notify,code 6,Resolved by 139,2016-03-29 17:07:00,2016-03-04 17:59:00,No
INC0000371,Closed,False,0,0,15,False,Caller 3728,Opened by  381,2016-02-29 15:53:00,Created by 158,2016-02-29 16:07:00,Updated by 908,2016-04-03 17:59:00,Phone,Location 204,Category 45,Subcategory 88,Symptom 324,2 - Medium,3 - Low,4 - Low,Group 31,Resolver 182,True,True,Do Not Notify,code 6,Resolved by 165,2016-03-29 17:54:00,2016-03-04 17:59:00,No
INC0000857,Closed,False,1,0,29,False,Caller 1326,Opened by  381,2016-03-01 17:04:00,Created by 158,2016-03-01 17:12:00,Updated by 908,2016-05-03 12:07:00,Phone,Location 51,Category 46,Subcategory 259,Symptom 221,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 22,False,True,Do Not Notify,code 6,Resolved by 20,2016-04-28 11:44:00,2016-03-05 12:07:00,No
INC0002400,Closed,False,1,0,26,False,Caller 3515,Opened by  443,2016-03-04 10:54:00,Created by 192,2016-03-04 11:03:00,Updated by 908,2016-05-03 12:07:00,Phone,Location 51,Category 45,Subcategory 200,,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 22,False,True,Do Not Notify,code 6,Resolved by 20,2016-04-28 11:46:00,2016-03-05 12:07:00,No
INC0002617,Resolved,True,0,0,2,True,Caller 4509,Opened by  325,2016-03-04 15:45:00,Created by 140,2016-03-04 15:47:00,Updated by 614,2016-04-28 15:27:00,Phone,Location 136,Category 55,Subcategory 270,,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,True,True,Do Not Notify,code 7,Resolved by 143,2016-04-28 15:27:00,2016-03-05 16:07:00,No
INC0002151,Resolved,True,2,0,31,True,Caller 3081,Opened by  402,2016-03-03 17:39:00,Created by 172,2016-03-03 17:51:00,Updated by 748,2016-04-28 16:58:00,Phone,Location 161,Category 45,Subcategory 47,Symptom 273,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,True,True,Do Not Notify,code 6,Resolved by 177,2016-04-28 16:58:00,2016-03-05 17:07:00,No
INC0002591,Resolved,True,0,0,4,True,Caller 3571,Opened by  325,2016-03-04 15:04:00,Created by 140,2016-03-04 15:07:00,Updated by 614,2016-04-28 16:11:00,Phone,Location 83,Category 55,Subcategory 270,,3 - Low,3 - Low,4 - Low,Group 33,Resolver 159,True,True,Do Not Notify,code 1,Resolved by 143,2016-04-28 16:11:00,2016-03-05 17:07:00,No
INC0002336,Resolved,True,7,0,47,True,Caller 5434,Opened by  501,2016-03-04 09:56:00,Created by 216,2016-03-04 09:58:00,Updated by 465,2016-06-28 09:34:00,Phone,Location 204,Category 34,Subcategory 154,,3 - Low,3 - Low,4 - Low,Group 25,Resolver 125,True,True,Do Not Notify,code 5,Resolved by 113,2016-06-28 09:34:00,2016-03-07 10:00:00,No
INC0002332,Closed,False,6,0,50,False,Caller 1846,,2016-03-04 09:51:00,Created by 89,2016-03-04 09:53:00,Updated by 908,2016-07-03 11:00:00,Phone,Location 204,Category 34,Subcategory 294,,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,True,True,Do Not Notify,code 6,Resolved by 53,2016-06-28 10:31:00,2016-03-07 11:00:00,No
